Sample ID,FDL_L,FMSB_L,FDB_L,FDL_R,FMSB_R,FDB_R,TDL_L,TPB_L,TMSB_L,TDB_L,TDL_R,TPB_R,TMSB_R,TDB_R,FBDL_L,FBDL_R,HDL_L,HPB_L,HMSB_L,HDB_L,HDL_R,HPB_R,HMSB_R,HDB_R,RDL_L,RPB_L,RMSB_L,RDB_L,RDL_R,RPB_R,RMSB_R,RDB_R,UDL_L,UMSB_L,UDL_R,UMSB_R,Wt (kg),Age
66,314.7,17.3,57.61,314.96,18.01,58.38,NA,49.71,NA,NA,NA,50.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.73
67,NA,NA,75.11,NA,NA,76.56,NA,NA,NA,NA,376.09,69.64,25.77,47.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.72
68,NA,NA,43.78,NA,NA,43.56,192.64,38.2,12.57,26.08,193.07,37.96,12.81,24.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,5.12
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.72,11.26,52,12.04
70,214.33,16.61,53.46,214.44,16.83,55.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,3.25
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.82,10.5,7.17,15.47,NA,NA,NA,NA,116.35,8.13,NA,NA,12,2.63
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.71,17.89,14.74,26.59,NA,NA,NA,NA,234.62,15.88,NA,NA,60,14.87
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.61,18.52,15.6,27.83,NA,NA,241.64,16.25,60,14.98
74,NA,NA,NA,NA,NA,NA,126.04,31.84,10.77,21.18,125.74,31.28,10.61,20.97,124.22,124.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,1.73
75,114.6,11.23,32.2,118.05,11.21,33.24,NA,25.3,NA,NA,NA,25.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,0.68
76,NA,NA,NA,150.04,12.35,40.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1.5
77,NA,NA,NA,190.6,14.83,48.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2.78
78,314.35,15.88,58.69,298.47,16.1,56.64,NA,48.31,NA,NA,NA,47.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,7.87
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.35,NA,NA,NA,NA,334.52,26.46,17.72,40.42,NA,NA,NA,NA,354.32,17.7,NA,NA,22,9.19
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.91,39.52,18.07,45.07,NA,NA,NA,NA,211.55,17.4,12.39,24.16,NA,NA,NA,NA,223.87,13.6,NA,NA,39,12.78
81,140.7,13.61,38.46,140.41,12.9,39.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1.14
82,NA,NA,59.01,NA,NA,58.01,244.84,48.24,18.54,33.88,246.18,48.84,16.75,32.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,10.59
